sleep,intake,output,workout,environment,information,work,spending,relationships,spirituality
3.700652592181433720e-01,-3.504793078074680546e-01,-8.928830087181245379e-01,-4.792285863457422801e-01,6.638338777937053958e-01,8.465977874576512408e-01,-5.741054436659416282e-01,-1.448726177759582234e-03,5.318697541548006447e-02,-6.604888890132889490e-01
-5.855126594320890776e-01,2.505424071354188098e-01,3.882948938157140817e-02,-7.320324022314236290e-01,8.347591555185346346e-02,3.184021372847717912e-01,5.816947049513903067e-01,-2.466976427581025477e-01,1.451991626102437094e-01,3.815727939551832315e-01
-1.039891207988630217e-02,-1.096273609253559655e+00,2.098036945993164981e-01,-1.563219040295237283e-01,-5.205758437716573317e-01,8.943114500926313548e-02,-1.079710454283693555e-01,6.366254944624025747e-01,1.110719133918839363e-01,2.398602855006349288e-01
1.966053353646883550e-01,-1.447879220249431165e-01,-9.718444378985450216e-01,4.585574257878676230e-01,1.066646737366893360e-01,4.098342041898578869e-01,1.262886748499335576e-01,4.114892040713322707e-01,3.610137680383225245e-01,-2.403484074753821087e-01
-6.772968315176027820e-01,-1.927966522699564589e-01,1.441995064087798761e-01,-1.119769712938544437e+00,1.852809223931806970e-01,7.695989221078152198e-01,5.409227256775248627e-01,6.256974395394172550e-01,-9.426213388907367374e-03,-4.852828538880729070e-01
3.064209010400955058e-01,-8.991905432943751997e-01,-1.076805948042514199e-01,1.660676239820381150e-01,-1.068507722766274259e+00,-8.317862486779015185e-03,1.003520504257427781e+00,5.440791602403191041e-01,4.291410097270552115e-01,5.083270050838286508e-02
-8.324958401197473101e-01,1.427755034291921798e-01,-6.609133242681678455e-01,-3.310462716954149509e-01,3.710117971083801702e-01,-2.134497876578216879e-01,-1.418481966316539333e-01,2.660100861290037866e-02,5.299009634437421568e-01,5.231803490527725531e-01
6.289902401203935067e-01,2.926788942422356987e-01,3.818801685289069381e-01,-7.452365336697742704e-01,5.673296719114699904e-01,-8.588424800956591110e-01,8.720671935426105303e-02,1.236445497922979281e-01,-2.452961996004051626e-01,7.895352631059937565e-01
7.779919933176159264e-01,6.115795452801375820e-01,2.155327091497266645e-03,6.581061296944503702e-01,-7.799469623732384616e-01,-9.345463203529824625e-02,-1.736516421203192495e-01,-6.697393253390336587e-02,9.956221098012806026e-02,4.051197463785349839e-01
1.554173981118276149e-01,7.344071301016578124e-01,7.490798303706855954e-01,-2.167438781817219717e-01,6.866008675584631682e-01,8.775755297343859063e-01,1.612084342788878133e-01,-1.827965381497033692e-01,-1.171105910213000589e+00,2.368843010549001593e-01
4.915647708295392548e-01,-2.073904661287442885e-03,7.475145787612078596e-01,6.040667752430409765e-01,-9.053399227797125082e-02,-3.362851138084196334e-01,1.765061046701242864e-01,2.240067121890076673e-01,-1.051404428745672942e-01,-7.781518693435443002e-01
-3.800986863009939709e-01,4.675322647974791135e-01,9.367965861796704111e-03,5.705914630304450563e-01,4.996810491284786049e-01,6.229182027379955855e-01,-3.898062243290199014e-01,3.594731395452268607e-01,3.477197077400677183e-01,-4.197770811569532384e-02
8.401806135852085688e-02,-1.553271023621616842e-01,5.864644901458335724e-01,-3.159356893545227085e-01,4.180577132641306037e-01,-2.466458519419215401e-01,2.376822456809895012e-01,-4.586507131602096665e-01,-2.137129124990375106e-01,-8.753443210668995778e-02
-2.976422995156906559e-01,-1.261590138848385778e-01,-2.767248631761342059e-01,2.481395736981111266e-01,-1.096020742389175878e-01,2.542643571250939594e-03,-3.913259172851483170e-01,-5.018734365333948899e-02,-6.605085716639156335e-01,-2.084494681671355543e-01
-2.216438850296763574e-01,2.785378286655694202e-01,3.719341809736433357e-01,2.496631953677201643e-01,7.974704219837156494e-01,-5.734700642984669194e-01,2.036751214757520356e-01,-4.561222095004818788e-02,1.077336332284615644e-01,1.756453488780431171e-01
1.243030305178368655e+00,1.386592689267317768e-01,3.909203401564982361e-01,-7.636550089062049684e-02,-1.613433920738538419e-01,5.491619397096986210e-02,-4.241188516244090434e-01,-2.565956181131207048e-01,-6.913582115119568106e-02,1.834158875022620927e-01
2.917034018721373356e-01,8.378173898970608935e-01,1.629631768469767816e-02,2.755065835433102572e-01,-1.560831405673993033e-03,5.211812477051878112e-01,2.884338596637948671e-01,3.602146855819216564e-01,6.464318715213662747e-02,-4.828543660125501624e-01
-2.114207350661984619e-01,-3.254960677352891629e-01,3.770861332687447387e-02,2.091828140083980270e-01,2.161493335324117804e-01,-1.940676362937987509e-03,-2.614072508677190432e-01,-1.787759089446904204e-01,3.008091085642286000e-01,5.481835029677676469e-02
3.410321881827227397e-01,3.090239613145461250e-01,-3.296242041038053294e-01,1.670861761420375236e-01,1.050884355741034670e-01,-2.969564051209228062e-01,-7.479569716051637229e-02,1.052408876685631822e-01,-4.336688272371892472e-01,5.528778479908268428e-01
7.688628549599678674e-01,2.494423934370041951e-01,2.927922475145475767e-01,-6.542767349678446642e-01,8.251206884357967786e-01,5.323882414487622894e-01,-1.561867245673689841e-01,-3.512570699689168685e-02,2.089601819353705814e-01,-4.989389596055733844e-01
2.464302479356939579e-01,2.611309180997031243e-01,3.238055532451474816e-01,1.490592180706851178e-03,-1.893382158620457445e-01,5.020932528584264309e-01,4.532955933706330764e-01,7.789357258557851882e-01,2.166819462745011582e-01,2.266122525963597534e-01
3.176627533846591855e-02,-1.392474618592427771e-01,5.080579842505376087e-01,7.073656419532197148e-01,2.034995077458190416e-02,6.755266319565798039e-01,3.177819460002455632e-01,-2.146093896286814795e-01,3.492835214285129886e-01,-1.654203365315487506e-01
-1.541681845529498385e-01,2.103306359924630164e-01,-3.761652947729769436e-01,3.315670558301067050e-01,5.549615776743048734e-01,-1.976720798569379656e-01,2.000729140990989419e-01,2.486022054796105107e-01,1.114843209442848149e-01,6.353004283249796824e-02
8.072024313805464812e-02,-1.502937311043253676e-01,2.342160283857817327e-01,-4.262207625036014136e-01,1.318526072998314480e-01,-1.772982939468892016e-01,-4.641079342163738630e-01,8.678990712802232832e-02,6.007202984165543880e-03,5.530557735959998888e-01
1.838156218867121883e-01,1.936374708313208792e-01,8.650040607004888527e-03,-1.714584163461364275e-01,-6.730394399390319249e-01,-7.714151886963485638e-02,7.466342937386769019e-02,-4.968473475959466201e-01,-1.360933881685407743e-01,-8.658611798338412546e-01
-8.807686123305625836e-01,2.224146003681408690e-01,2.689523973747021124e-01,1.348127072472720678e-01,-2.183742365635664151e-01,6.052358656063522302e-02,1.956838130125787834e-01,1.155113520971153690e-02,-1.038706142796427034e+00,2.107375325583666359e-01
-3.270841140655021961e-01,-2.039513656994841884e-01,6.639343108134059257e-01,4.169985807697653146e-01,3.656036053895557192e-01,-5.919841872918063519e-02,-2.882707811180498236e-01,2.131342204845435018e-01,7.980563523655878622e-02,-1.017227199304012730e+00
2.810065138983335875e-01,-4.031668950653061190e-01,-3.621398474285764668e-01,5.450682921617200360e-01,6.012342860350166074e-01,-4.092728397595181700e-01,-2.213090806705651503e-01,-5.055681339956524800e-02,-2.784903955125886954e-01,-1.759117400477163140e-01
-4.094662044081276431e-02,6.640427858746178469e-02,-3.248967465279527511e-01,2.997646350117840752e-01,6.537560815117053892e-01,2.034240244225065941e-01,-3.539015550717283243e-01,1.073890232065183026e-01,9.313020926455833903e-02,7.241941002158386320e-02
7.737310536827478602e-01,-3.311181067637167241e-01,-6.293734926354247472e-01,-2.339684708364014043e-01,2.336736554600046256e-01,5.737102337133643398e-02,-3.725031237761444736e-02,-3.175171724634124892e-01,2.427933255398545265e-01,2.489586845172785390e-01
6.381844731565065043e-01,-1.082720866460948894e-01,-7.263802204816314223e-01,-1.979085178051065430e-03,1.868163168641670535e-02,7.796422006119836379e-01,-4.529062989868378603e-02,-1.683218365658731841e-01,-1.623208994886405909e-01,-1.119809243670283616e-01
-5.052292998992299333e-01,1.135581582571686399e-01,-4.083260571612801898e-02,-3.173087674478370923e-01,4.939924455900270850e-01,5.582755469424396377e-01,6.875046424887866214e-01,4.747388376912432539e-01,-3.508219132045395927e-01,-4.014120411943354338e-01
-1.155545346224115255e-01,-3.825277290234707639e-01,6.864614426983288720e-01,-1.332349649793276303e-01,1.700178828922527807e-01,-4.954587530052324551e-01,5.382177369289765645e-01,6.856483284248899857e-01,4.922029483509892112e-01,-2.026137284613943601e-02
-1.325861407921340440e-01,3.559560365575710761e-01,2.652829353915603372e-02,2.699594048426526838e-01,5.846447165456007677e-02,-4.028364082074820107e-01,-3.183510251920850798e-01,2.542649864857843278e-02,6.954637971683921283e-01,1.233853360849099134e+00
1.080916696014351697e+00,1.264235279983542126e-01,-2.169222864373865356e-02,1.326472092329920860e-01,5.443384119469155680e-01,-1.193252082267119568e-01,-2.432019192966267951e-01,-7.311485215376820612e-01,-2.388275965035958626e-01,-6.768114051212759108e-02
8.102740440896120111e-01,8.984313259831826493e-01,3.059037626704593227e-01,-7.599415266274053837e-02,-3.453465360271266160e-01,8.094329373581954368e-01,-2.744743023895119816e-01,-4.611892438778765757e-01,-4.951806837478638923e-01,-1.342338230408840760e-01
-2.915279563379190031e-01,3.349111963793227620e-01,3.331415779365877738e-01,2.160288082593898873e-01,3.135496865684762047e-01,8.589879468876110424e-02,3.694484581212662544e-01,-2.408394976383532726e-01,-3.704538676726437663e-01,-5.244555058968402017e-01
4.741589100885592045e-01,-8.412983342786008178e-02,-6.117720462702139206e-02,-3.314401636652541949e-01,9.957520357563451330e-02,2.397710575627853558e-01,1.179592868028823405e-01,-4.361833726933246891e-01,-5.816706625491180338e-01,-2.224426198245815500e-01
2.594668102008076405e-01,3.742335771192091820e-01,-1.410289023566800581e-02,2.790748601979513022e-01,1.448678827909986311e-01,1.289520794306616425e-01,2.992534740958101014e-01,-2.046434637677844726e-01,-6.282993000923140503e-01,-2.306672702725694746e-01
-4.695007901857093935e-01,2.325859273319865195e-01,3.562232131717746886e-01,2.485142597001583908e-01,-1.497763543362275740e-01,2.958716275501977466e-01,5.263799970662034339e-02,6.552955042167994959e-01,-3.660760953820327290e-01,-7.728156996785182642e-01
-3.065934273511999875e-01,-5.853942130365561436e-01,-2.254791578241140959e-01,5.223777762240102707e-01,3.030758938810859116e-01,-1.262077295901144147e+00,-6.918532642863914339e-02,-2.955644962250754681e-01,6.520110518396665666e-01,1.855156134583197391e-01
8.592750455809814447e-01,-2.777586470275927866e-03,-7.385794793886348852e-01,-4.972170895672831659e-01,7.984373757970097962e-02,-6.779361742669570701e-02,-5.038277503062551510e-01,-6.237565408856793336e-01,-2.412167388256336586e-02,7.347645243365186207e-01
4.980013605135129584e-01,1.572362247124031054e+00,1.586303454860389928e-01,-5.072580856130652904e-01,-1.648954997657639254e-01,4.382395041603973640e-01,-3.772350182539786489e-01,-2.260253234289963387e-01,-9.054184496161327145e-02,-8.736639179273600342e-02
1.528527154967996293e-01,2.358688406718293107e-01,1.590070920567095980e+00,1.754781323303989393e-01,-1.947865005560436569e-01,5.784506397019985036e-01,-9.885576446213523161e-02,-3.187027417722460010e-01,3.939404962538706201e-01,-5.243152043124935796e-02
2.984153484478543339e-01,3.722241527273684181e-01,-3.832105219394933426e-01,1.325260845719876013e+00,-2.036517213144349026e-01,1.853661891628738123e-01,2.802350428236664026e-01,-6.267051120950212217e-02,-2.443553768422999095e-01,3.485587539559808490e-01
-6.276865713312763939e-02,-1.964014463205482064e-01,-4.242942928683707260e-02,6.624611969652638432e-03,1.445030711840781024e+00,2.786622739030020224e-01,3.824455452981905257e-01,4.892206853755576845e-01,-4.536164623761740344e-01,-7.328441620060972550e-01
3.371374359633382278e-01,-6.116314993964711011e-01,-2.192266154693816582e-01,-4.731677233043121156e-01,-1.825737601007926536e-01,-2.692941200888904763e-01,3.510628269601927531e-01,7.353883130090038689e-02,-1.871490234727768431e-03,-3.028900091469418077e-01
6.498628849899327209e-01,3.838287471098376091e-01,-1.011619921537766809e+00,-1.260644509600569174e-01,4.401117701940328031e-01,2.867387438685660150e-01,1.956938852323556188e-01,5.787782585821263925e-01,4.079896195049566021e-01,3.139283812205828639e-01
4.580257234364354391e-01,3.996090997407377721e-01,1.851153662025138980e-01,-6.720525273540751687e-01,3.986511926478304713e-02,7.220227104776927307e-02,1.165797572043023589e-01,1.248171324177201197e-01,4.375025274086861704e-01,1.926869691998036871e-01
3.570281283113644899e-01,2.894208801420061761e-01,1.670946695820151040e-01,-2.414775255610945581e-01,-7.036565126188938368e-01,3.895017313533911119e-01,8.629430555040616679e-02,-5.300059901908562576e-01,3.646630220118302623e-01,9.546920909580428050e-02
-5.716145424290621779e-01,5.843329106234609327e-01,5.515999330462182382e-01,-9.645655151063717292e-02,-2.757196297168240107e-01,-1.172960480123244886e-01,5.169192798971840030e-01,3.318092988800054322e-01,-5.026480255115509665e-01,6.727694585774162128e-01
4.721045528630108956e-01,-4.372432456670151124e-01,6.255084787077371811e-01,-1.102817231430721634e-01,-1.463580948685925254e-01,-3.246332044981286025e-01,-8.523419181951852330e-02,9.768281649279125789e-01,3.254263813758319079e-01,-2.419153236990513323e-01
-5.905832909735623248e-01,2.742269265384220112e-01,-5.411268579130810163e-01,1.142485749441413123e+00,-2.018858783455549921e-01,3.661904827409969698e-01,1.374991895951818421e-01,1.373357457836563433e-01,2.603865489409958323e-01,4.193547021946220088e-01
3.207353499698131771e-01,-4.679025336007675007e-01,3.312474591145118108e-01,-3.473694882722040966e-01,3.841265245007983165e-01,-5.824579155858977675e-01,2.625481913068934414e-01,-7.968290430057176077e-02,2.578486865976720166e-01,4.828613397803374618e-01
5.111630767190061819e-01,1.127113024375441808e-01,8.132072344881635662e-02,2.731312411503626914e-01,-1.371014279132062030e-01,-4.518785121245094683e-03,-4.730149631751814354e-01,4.832146694900331108e-01,1.673404693506765906e-01,1.243733729798354448e-01
-3.826819457801635977e-03,4.175065775987661376e-01,-2.034582109448450082e-01,1.327366847200098232e-03,3.772274878910947260e-02,-5.791562496454838449e-02,4.248867454192365584e-02,-3.742496794079930855e-01,-1.008915496765780961e-01,-1.213638779301501741e-01
-6.752710028053837688e-02,-8.699947088043153975e-01,3.474556181758322038e-01,-6.240370365560694854e-02,1.955986705040864693e-01,-1.812621969326474736e-01,-4.673645622228760343e-01,2.182283563648621250e-01,-6.744681968542061146e-01,9.165998299344851885e-02
-6.052554941034321567e-02,-3.509209049277252079e-01,-5.206951563342269163e-01,5.798922766406497953e-01,-9.076460353356223532e-02,-1.209907668439464679e-01,-6.334381928288049801e-01,-7.779277030451453578e-02,1.746179573011394370e-01,-5.536330275920512412e-01
7.355305171487624971e-02,-5.125964482691741653e-01,-3.970286811292192963e-01,-3.630315512428946012e-01,3.172602097506703189e-01,-7.733382335269420871e-01,2.010724267042411639e-02,-4.525567335985862250e-01,2.487746243070531327e-01,7.341925647036812164e-01
4.640744885023377897e-01,1.668289347351275542e-01,-2.828995373150030024e-01,-2.269839454604835605e-01,-2.956146249240391155e-01,1.674601573005609079e-01,-2.028876428317481495e-01,-2.406443467457569374e-01,2.534888662946753191e-01,3.260314515437738314e-01
1.059491184937350339e-01,-3.498866158533347481e-01,1.135923629713286864e-01,-4.907986913467497492e-01,1.342457197830015936e-02,6.115230892043912458e-01,4.621862649458760575e-01,-1.919422967554562653e-01,-1.908298496426391044e-01,3.085788012276320380e-01
-4.700364835262232921e-01,-5.596428683738134680e-02,-4.077547334513289545e-01,2.357593606151427157e-01,-4.807716970997345518e-01,2.973325936466635899e-01,3.702157549361803079e-01,5.801154181342358385e-01,5.311410872904048786e-01,3.338240873305143852e-01
2.113981484681360934e-01,1.439236490878864627e-02,-1.489565743900208017e-01,-5.166165977516981034e-01,-8.874938367404180961e-02,-2.702996970731411652e-01,6.501531804843119211e-01,4.033693955539810472e-02,5.466808560048654897e-01,-2.363296095064804092e-03
-4.100028557800835527e-01,4.052655352567405833e-01,-1.959428980460629910e-01,-3.188973581112634070e-01,2.310039636950177444e-01,1.686604866183504525e-01,-2.025536453639406875e-01,3.862255066192264996e-01,1.528379599459476212e-01,1.703284502327376271e-01
2.158444253846448779e-01,3.900870270709444476e-02,1.874940403844209680e-01,-8.508115346814859592e-01,-4.197011372340901936e-01,-5.657873111762351526e-02,4.543313336308157369e-01,-3.271527570978660648e-02,6.985826242361582450e-01,-2.048991576265174475e-01
7.449791591051502238e-02,2.140220249338646297e-01,2.300961492358517269e-01,-7.268782869376362310e-01,-3.278229906390380810e-01,2.209785920234622059e-01,5.328912101822261826e-01,3.744911512962103561e-01,-3.148925054692603975e-01,2.480340362779224483e-01
8.218972947311836696e-02,1.444877275749264500e-01,-4.042585297386791510e-02,-1.593366589826687996e-01,-5.400844559034601033e-02,-1.945383016753355482e-02,1.341300051238204782e-01,2.130198730677701491e-01,6.816559499297859537e-01,1.142130290447996854e-01
-2.766933734765250619e-01,3.455862944119908464e-02,-1.754918983533327315e-01,5.280063226186471059e-01,2.144740709511896992e-02,-2.653208688954835498e-02,-1.148670629824218165e-01,2.571416129827904240e-01,7.530484934884069947e-02,9.399571838048241812e-01
1.980108389122174906e-01,-5.640817548797913972e-01,4.473359548290203880e-01,-2.505521605758510573e-01,7.955653790745501608e-01,7.027567079965610364e-02,-4.260000694694637824e-01,-2.632582048111645756e-01,1.947941059860789637e-01,-1.341913270777441575e-02
4.780059806067450401e-01,-4.514087986578482758e-02,-4.203358833903377278e-01,6.135806865776107788e-01,2.244888085294224345e-01,-9.840568591525619691e-02,-2.039884836966675274e-02,-3.362361972281916467e-01,-5.892368154372392697e-01,4.177533659900215524e-01
4.873047756599386826e-01,4.910202472824596320e-01,-6.468269381272472029e-02,-3.313518857033997955e-02,7.185308809125934282e-01,6.826126836605745929e-01,-1.199088292538736389e-01,9.053317554362708131e-02,-3.520009680125079088e-01,-5.093469785104853820e-01
3.979826604193721362e-01,3.572347521177882679e-01,2.976065934387089884e-01,1.356847938113455720e-01,1.764560120930282749e-01,1.148263976921451712e-01,2.835191593361209850e-01,1.297537217853611258e-01,2.211924465744992963e-01,-3.092769050154263732e-01
2.930137396960491580e-01,2.488525219909654973e-01,-3.293449821851107129e-01,-3.044338281847869254e-02,-3.474462417725063812e-01,6.222703449405735388e-01,2.319421731051788393e-01,2.340756868799487855e-01,-6.044489991841136556e-01,-2.883398453154117913e-01
-3.599206770539066236e-01,-3.289526696448525356e-01,4.567351698279324967e-01,-2.614272714906897832e-01,-6.424401145375721600e-02,1.860865768419073252e-01,1.505444350691552136e-01,-1.505869563288832480e-01,-4.057428556138512610e-01,-4.160717241877771588e-01
-1.158665731701457730e-01,-3.232251924672624455e-01,-3.150260072210312456e-01,3.768795954973991336e-02,-1.077933778279473731e-01,-9.873672567211775331e-01,-2.010733723501609282e-01,-9.214337185823516518e-02,-2.579571162123903694e-01,-2.186466986637955467e-01
-2.193013565550738231e-01,-3.446616315228199362e-02,1.474743565633472031e-01,1.911125422142559982e-01,2.206639349156185870e-01,2.934738797359025542e-01,-1.722645444884298715e-01,-2.962525593917522682e-02,-4.839911222872223528e-01,1.210138335020575218e-01
-1.293531191916104384e-01,4.050453438255038896e-01,4.933873410504526769e-01,-5.223582830741921312e-02,-1.961559556554057782e-01,-3.601078951186142407e-01,1.859073813670796549e-01,2.637941986931732763e-01,-3.913661155820801207e-01,-7.422342087626249141e-02
-7.547280158821162432e-01,2.735622504338617311e-01,2.649427610633250940e-01,4.052942370843943820e-01,-6.840290481040670056e-02,1.901753031402027561e-01,-1.406817063823552760e-01,6.365156357946002430e-01,-3.482194883742059099e-01,-5.454778104666320182e-01
-7.076630371691235988e-01,-3.129750517468399273e-01,-3.147798673643640854e-01,9.147670548242963218e-01,3.112518751820211871e-01,-1.617389869537798064e-01,-1.567764263831350480e-01,-3.957968896391657332e-02,6.328354599929129076e-01,-4.556553550933847840e-01
-1.398043404577273552e-01,-2.815054256419896594e-02,1.608358289410798669e-01,-4.665693802939396839e-02,1.231745972607849016e+00,-1.079104425485662100e+00,-2.584725101007952219e-02,-2.241543705646564522e-01,3.994148636311933842e-01,7.759467463292231137e-01
1.344589438781447432e+00,-2.769265527623672174e-01,1.487643520355633187e-01,4.366583121444118087e-01,3.565357495112840280e-01,-3.757835769309031404e-01,-9.603445985194740686e-01,5.546896197870403167e-02,2.615509435202442168e-01,4.656758599061346926e-01
8.197151861012241802e-01,3.554729203216260291e-01,-2.753393314955536186e-01,2.537875845719133050e-01,3.865360950151505715e-01,3.738175015556407521e-01,6.721521491609089294e-02,-5.686410010540348114e-01,-1.011253438719232345e-01,5.424119530276477752e-01
-5.897413306108001407e-02,4.204036806758248979e-01,5.140423921944642371e-01,-7.993993698833722072e-02,1.102450262998464076e-01,5.276677618134991699e-01,1.916092850219190402e-01,3.072229241283529477e-01,-4.893402559552492148e-01,1.325895974202203065e-01
-5.059251722613712365e-01,3.275439671079533599e-01,1.026749110273740939e+00,5.097232121619376111e-01,-8.191520897289938929e-02,-2.018042359308731271e-01,5.792978731012300431e-01,-6.092568410257609424e-02,-3.056411910068748683e-02,-9.812094657021006583e-01
-4.534374210903459046e-01,-4.413953621538186933e-01,1.584905245489977577e-01,7.180314627750890022e-01,1.443709176990412291e-01,-2.979421413032816712e-01,-4.652396161886232506e-01,3.708915446092785895e-01,-1.270731833695445678e-01,-5.338836363655879991e-01
-5.563901692460270221e-01,-4.951536309491193499e-01,-4.777028429401938281e-01,1.887030215539976519e-01,3.811240074376036624e-01,-3.327548250192500223e-01,-3.312031478770546267e-01,-1.102708281996674700e+00,2.226052744076385259e-01,-3.416022376931972526e-01
-2.839136138463534131e-02,-6.192966371831124528e-01,-1.499045444622516543e-01,-3.481660842908797515e-01,3.445734795575405851e-01,-1.550555702360664201e-01,-4.029208178172660748e-01,1.273975857180362214e-02,-7.032751297812037672e-01,-1.615608832465020295e-01
5.579451834169119745e-02,8.346843082547940329e-03,-5.253233681758739948e-02,-2.095031682999775047e-01,2.275430906838698530e-01,2.110897908189420247e-01,-7.428162113869928307e-01,-5.927173594391729194e-01,1.848821941896701959e-01,-9.288928504294792221e-01
-2.042956544545523612e-01,4.538408308919653633e-01,-7.460559167922461987e-02,3.855351693951200587e-01,2.505281490106426867e-01,2.215350893734297985e-02,1.377550143758588808e-01,-4.655997918658767443e-01,-2.814337553213492882e-01,-3.378199413704260357e-01
-8.668228056969252970e-02,-6.449832269922527450e-01,2.141486141156055956e-01,-1.180455151411012454e-01,-2.753542047763737344e-01,-5.220680530829369115e-01,-1.039195009882032672e-01,7.445320420897469926e-01,-7.419408982467842195e-01,-1.596379224456522805e-01
-4.833749818833655842e-01,-1.731904021237953839e-01,-1.559355879797935107e-01,2.430464529709711607e-01,4.510171917831451438e-02,8.595002348092779798e-02,-1.927977572042792465e-01,-7.212137518509481593e-01,6.369862970608985986e-01,-5.448841224963176799e-01
-1.281443214662660313e-01,-8.744941213972107219e-02,3.465560315179874729e-03,9.796559302254460866e-02,-1.813049533173219929e-01,-2.040204333734321196e-01,2.738418868943484630e-02,-1.609063770273204963e-01,-1.148092082903129918e-01,2.992891285262318513e-01
-1.415824760517789827e-01,-4.837714016851826782e-01,-1.498949181663981611e-01,3.236317685311240200e-01,-4.317609729027752641e-01,-1.433562041599255321e-02,-9.026428283229593896e-01,-1.879086986505056900e-01,1.861311631225943952e-02,-2.419343940594773645e-01
-6.940728148348416227e-01,-2.095779114443009905e-01,-4.190740078428012438e-02,3.426540607262510973e-01,6.802054100548498017e-01,1.055788305773326108e-01,9.813884972059770673e-02,-3.360984879198128383e-01,-4.784477001413138808e-01,-2.777316107668653666e-01
5.866811675895913236e-01,-2.289689851607714099e-01,1.158201112986262937e-01,3.721256066049659361e-02,-7.640622645023409376e-03,-8.098816249776841225e-01,3.553192536025547299e-01,3.935451788909599125e-01,-5.714108865998458464e-01,-5.567676221664357161e-01
-3.102357736756243822e-01,6.730681696565972150e-01,-2.624398193631495291e-01,-1.745938705933379465e-01,3.225744735454587619e-01,5.898589077483413767e-01,-7.751938308197030558e-01,5.091721390272199721e-02,6.084744605196429346e-01,-7.842500655251345432e-01
-3.163805111271092985e-01,-8.237276156871872757e-02,5.204635752842402541e-01,9.511655184445411138e-02,-6.355197908295977527e-01,-2.118823622731162981e-01,5.032498294753393608e-01,-4.425566907067202127e-01,2.087162116160289349e-01,7.587197228476694200e-02
1.565319414762743611e-01,-8.525347299804961199e-02,1.105280817093618195e-01,1.912648172977617633e-01,1.208066059079916932e-01,1.776719235920364293e-01,-1.528714996168714091e-01,4.108821005739342613e-01,-2.147748468956468537e-01,-3.438166928825534541e-01
-1.621522658309265674e-01,3.174773126541471369e-01,-2.062410801220833645e-01,6.471887851786015111e-02,1.240611140432563569e-01,-3.644108479722343308e-01,3.656626823071442711e-01,-5.132232818103203975e-01,4.144178528472397538e-01,-1.904213753367285933e-01
-1.351838095641254012e-01,-9.347234766247404514e-02,4.483379834543017584e-01,9.966897474542499302e-02,-8.379918840582482875e-02,-1.628456890934206480e-01,-5.129163195633739125e-01,-1.824857715001928504e-01,-7.397448239811293957e-02,-3.908338115126003265e-02
-2.814138724127926428e-01,1.919259071641835068e-02,-4.697379992735916665e-01,4.578653099968404416e-01,-1.833556728543370151e-01,-4.355575178769965361e-01,-2.881921838582537920e-01,-6.143579185741614435e-01,-5.692318673067026102e-02,3.736583645086518635e-01
